report_id,source_type,source_name,timestamp,city,state,latitude,longitude,event_type,verification_status,source_reliability,is_suspicious,is_duplicate,semantic_similarity_score,semantic_duplicate_status,matched_report_id,similarity_method,predicted_event_category,event_classification_confidence,classification_method,risk_score,risk_label,risk_reasons,intelligence_processed_at
f543f2b0-c1aa-4e3a-bb3e-514124b5444d,SOCIAL_MEDIA,X-like-demo-feed,2026-07-14T10:32:00Z,Jabalpur,Madhya Pradesh,23.1815,79.9864,FLOODING,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,FLOODING,0.2715,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.2715) (+0.15),2026-08-31T07:46:16.949072+00:00
d184ef8f-f8d2-43fc-80f2-f6b864975d6c,SOCIAL_MEDIA,X-like-demo-feed,2026-07-14T10:34:00Z,Jabalpur,Madhya Pradesh,23.1816,79.9865,FLOODING,UNVERIFIED,0.3,False,True,1.0,EXACT_DUPLICATE,f543f2b0-c1aa-4e3a-bb3e-514124b5444d,tfidf_cosine_v1,FLOODING,0.2715,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.2715) (+0.15),2026-08-31T07:46:16.949088+00:00
263e3eea-08dc-4312-83d2-dbc736ad7928,SOCIAL_MEDIA,X-like-demo-feed,2026-07-15T05:10:00Z,Delhi,Delhi,28.5562,77.1,FOG,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,FOG,0.2767,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.2767) (+0.15),2026-08-31T07:46:16.949096+00:00
4d3795c9-167e-4644-b55b-47c298e51ac9,SOCIAL_MEDIA,X-like-demo-feed,2026-07-16T18:45:00Z,Bhopal,Madhya Pradesh,23.2599,77.4126,THUNDERSTORM,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,THUNDERSTORM,0.2483,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.2483) (+0.15),2026-08-31T07:46:16.949101+00:00
f3f882b4-5816-4aa5-aeeb-98092eaf1b55,SOCIAL_MEDIA,X-like-demo-feed,2026-07-14T10:40:00Z,Jabalpur,Madhya Pradesh,23.1817,79.9863,FLOODING,UNVERIFIED,0.3,False,False,0.2074,POSSIBLE_RELATED_EVENT,f543f2b0-c1aa-4e3a-bb3e-514124b5444d,tfidf_cosine_v1,FLOODING,0.2236,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.2236) (+0.15),2026-08-31T07:46:16.949107+00:00
d229054d-9045-45ae-8670-23c4f1318f7f,SOCIAL_MEDIA,X-like-demo-feed,,Jaipur,Rajasthan,26.9124,75.7873,DUST_STORM,REJECTED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,DUST_STORM,0.233,tfidf_logreg_v1,1.0,HIGH_RISK,structurally rejected during Phase 3A validation (missing_timestamp),2026-08-31T07:46:16.949111+00:00
ad896f97-54d0-4c34-9b68-426c8b3bff79,SOCIAL_MEDIA,X-like-demo-feed,2026-07-17T09:00:00Z,Chennai,Tamil Nadu,128.5,80.2707,STRONG_WIND,REJECTED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,STRONG_WIND,0.1709,tfidf_logreg_v1,1.0,HIGH_RISK,structurally rejected during Phase 3A validation (invalid_latitude),2026-08-31T07:46:16.949114+00:00
e7eb663d-63eb-432b-9a77-18c8bdb01756,SOCIAL_MEDIA,X-like-demo-feed,2026-07-20T14:00:00Z,Pune,Maharashtra,18.5204,73.8567,FLOODING,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,FLOODING,0.1921,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.1921) (+0.15),2026-08-31T07:46:16.949119+00:00
2f88f7a9-958f-4f72-9a9b-a728b6336cdd,SOCIAL_MEDIA,X-like-demo-feed,2026-07-21T19:15:00Z,Hyderabad,Telangana,17.385,78.4867,THUNDERSTORM,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,THUNDERSTORM,0.2652,tfidf_logreg_v1,0.4,MEDIUM_RISK,low baseline source reliability (0.3) (+0.25); low event-classification confidence (0.2652) (+0.15),2026-08-31T07:46:16.949124+00:00
ab6cbde8-791e-4b12-9870-e166cae23486,SOCIAL_MEDIA,X-like-demo-feed,2026-05-25T12:30:00Z,Ahmedabad,Gujarat,23.0225,72.5714,HEATWAVE,UNVERIFIED,0.3,False,False,0.0,UNRELATED,,tfidf_cosine_v1,HEATWAVE,0.332,tfidf_logreg_v1,0.25,LOW_RISK,low baseline source reliability (0.3) (+0.25),2026-08-31T07:46:16.949128+00:00
