id,source,timestamp,latitude,longitude,temperature,humidity,pressure,rainfall,wind_speed,wind_direction,verification_status,confidence_score,quality_flags
a8d6e74a-f1d6-4f69-8eb7-c3f65ec13db4,Open-Meteo,2024-01-01T00:00:00Z,23.233742,80.0,12.9,96.0,970.2,0.0,0.82,,validated,0.8,
d8802b6d-0311-4c54-95b0-4cfc088056ee,Open-Meteo,2024-01-01T01:00:00Z,23.233742,80.0,13.3,93.0,971.2,0.0,1.63,,validated,0.8,
85028a3f-846e-4c09-aa32-2e1d1bb5c1cd,Open-Meteo,2024-01-01T02:00:00Z,23.233742,80.0,14.5,89.0,971.7,0.0,1.84,,validated,0.8,
af80602a-aead-4fea-b25b-8c0d2dd81eee,Open-Meteo,2024-01-01T03:00:00Z,23.233742,80.0,17.4,80.0,972.9,0.0,1.48,,validated,0.8,
f4a34d4d-b4c8-4e04-ac1e-80eb7a76d5cb,Open-Meteo,2024-01-01T04:00:00Z,23.233742,80.0,20.4,72.0,973.9,0.0,0.45,,validated,0.8,
4d91aaea-521d-4fc5-b46e-6e67177068c0,Open-Meteo,2024-01-01T05:00:00Z,23.233742,80.0,22.9,65.0,973.7,0.0,1.12,,validated,0.8,
7579d495-831f-4f0d-84c8-78ebdd1997d8,Open-Meteo,2024-01-01T06:00:00Z,23.233742,80.0,24.8,59.0,972.9,0.0,1.68,,validated,0.8,
7be3f1d9-f82a-46e9-8004-4dc0c4c3cffa,Open-Meteo,2024-01-01T07:00:00Z,23.233742,80.0,26.0,51.0,971.5,0.0,2.11,,validated,0.8,
bd64bd65-eb61-4560-9215-6961567508eb,Open-Meteo,2024-01-01T08:00:00Z,23.233742,80.0,26.5,46.0,970.6,0.0,1.7,,validated,0.8,
035e8ec7-994c-4779-b06a-5696a63be548,Open-Meteo,2024-01-01T09:00:00Z,23.233742,80.0,26.6,44.0,969.9,0.0,1.24,,validated,0.8,
e91c4eb6-ed1f-4999-8b2f-2d4a3b595840,Open-Meteo,2024-01-01T10:00:00Z,23.233742,80.0,26.2,45.0,969.5,0.0,0.71,,validated,0.8,
713e5b1f-af1f-43d0-bb24-9c1ef0e04ed9,Open-Meteo,2024-01-01T11:00:00Z,23.233742,80.0,25.6,51.0,969.5,0.0,0.41,,validated,0.8,
6c0f70d3-7772-46d0-8bd6-5dcd5f55d6e1,Open-Meteo,2024-01-01T12:00:00Z,23.233742,80.0,22.1,64.0,969.3,0.0,2.0,,validated,0.8,
bd037f82-af8c-4155-adf1-07b91d4bafda,Open-Meteo,2024-01-01T13:00:00Z,23.233742,80.0,20.6,71.0,969.8,0.0,1.77,,validated,0.8,
d70bc44c-7af8-45a5-98eb-1c2715caf4a3,Open-Meteo,2024-01-01T14:00:00Z,23.233742,80.0,19.6,76.0,970.2,0.0,1.82,,validated,0.8,
bf229a67-ff72-41d6-aa63-e3bdcc5ef924,Open-Meteo,2024-01-01T15:00:00Z,23.233742,80.0,18.8,79.0,970.7,0.0,2.1,,validated,0.8,
06b716dc-be3d-44be-8b6a-fc1744e0a5ab,Open-Meteo,2024-01-01T16:00:00Z,23.233742,80.0,17.7,82.0,971.0,0.0,1.86,,validated,0.8,
dd73ac1e-9739-4910-b6aa-7207dd156eb6,Open-Meteo,2024-01-01T17:00:00Z,23.233742,80.0,17.1,83.0,971.1,0.0,2.12,,validated,0.8,
558a16e3-3290-43c7-9c84-3f8ba9ba5dee,Open-Meteo,2024-01-01T18:00:00Z,23.233742,80.0,16.5,86.0,970.9,0.0,2.28,,validated,0.8,
f5bc20f1-563c-42ea-9699-0f69e9bc5c3e,Open-Meteo,2024-01-01T19:00:00Z,23.233742,80.0,15.7,92.0,970.5,0.0,2.42,,validated,0.8,
ab3abccb-3b95-4c02-97c3-42f8bbb37b46,Open-Meteo,2024-01-01T20:00:00Z,23.233742,80.0,15.3,94.0,970.1,0.0,2.33,,validated,0.8,
a43e81b6-c7db-4a69-9c93-4188e0715d41,Open-Meteo,2024-01-01T21:00:00Z,23.233742,80.0,14.3,96.0,969.8,0.0,1.55,,validated,0.8,
36a6a72a-a204-4257-885d-ef6a7ab1afac,Open-Meteo,2024-01-01T22:00:00Z,23.233742,80.0,14.2,96.0,969.5,0.0,1.42,,validated,0.8,
11bd3cdd-99c2-4202-86d5-479d5d958b13,Open-Meteo,2024-01-01T23:00:00Z,23.233742,80.0,13.7,97.0,969.3,0.0,1.34,,validated,0.8,
7403bf2c-095d-4ace-8bb3-0dba11e1fad6,Open-Meteo,2024-01-02T00:00:00Z,23.233742,80.0,13.3,97.0,969.5,0.0,1.24,,validated,0.8,
6b4a6b65-9f6c-49e3-b9eb-b6e2a4b234c9,Open-Meteo,2024-01-02T01:00:00Z,23.233742,80.0,13.0,96.0,970.5,0.0,1.32,,validated,0.8,
b6c68786-cfc1-40e2-b2bb-64bb2439d333,Open-Meteo,2024-01-02T02:00:00Z,23.233742,80.0,14.0,94.0,971.4,0.0,0.71,,validated,0.8,
7cca762b-4d59-42bc-b7d3-bf760b04d0ae,Open-Meteo,2024-01-02T03:00:00Z,23.233742,80.0,16.7,84.0,972.5,0.0,0.41,,validated,0.8,
58054f65-30de-4e4a-9c47-2105c871ee9e,Open-Meteo,2024-01-02T04:00:00Z,23.233742,80.0,19.2,75.0,973.1,0.0,0.51,,validated,0.8,
6e5e79f0-26ed-46b4-beb3-4f98cd796008,Open-Meteo,2024-01-02T05:00:00Z,23.233742,80.0,21.4,68.0,972.8,0.0,0.5,,validated,0.8,
17a41469-9581-445c-901b-6f96e4df84d2,Open-Meteo,2024-01-02T06:00:00Z,23.233742,80.0,23.3,64.0,971.9,0.0,0.51,,validated,0.8,
434768e8-d9b4-4e92-9810-50c4ee3c04c9,Open-Meteo,2024-01-02T07:00:00Z,23.233742,80.0,24.8,59.0,970.8,0.0,0.98,,validated,0.8,
23d00eb6-2f86-4d27-985b-a70ffe6cd4e8,Open-Meteo,2024-01-02T08:00:00Z,23.233742,80.0,25.9,49.0,969.8,0.0,1.36,,validated,0.8,
25c11d67-fd13-45ff-be68-1484110c632a,Open-Meteo,2024-01-02T09:00:00Z,23.233742,80.0,26.3,44.0,969.0,0.0,1.17,,validated,0.8,
0707fc83-42a8-4272-b775-ffe7a8276568,Open-Meteo,2024-01-02T10:00:00Z,23.233742,80.0,26.2,43.0,968.6,0.0,1.1,,validated,0.8,
c6fef643-eae1-4f4f-8b74-1ae44ec991ae,Open-Meteo,2024-01-02T11:00:00Z,23.233742,80.0,25.2,54.0,968.7,0.0,0.94,,validated,0.8,
